source,log_message,target_label
LegacyCRM,User 4591 attempted login with expired credentials.,Security Alert
LegacyCRM,The 'LegacyDashboard' module will be removed in v5.2,Deprecation Warning
BillingSystem,Payment failed for transaction ID: 30956 due to invalid card.,Workflow Error
ModernCRM,New user registered: user9238,Security Alert
AnalyticsEngine,Exported report monthly_metrics.xlsx to S3 bucket,File Operation
ModernHR,PATCH /api/user/203/profile HTTP/1.1 - Status: 200 OK,Server/API Activity
ModernHR,Failed to retrieve employee benefits for ID 7294 - timeout,Security Alert
LegacyCRM,The 'BulkSMS' feature is deprecated. Use 'SmartNotify' instead.,Deprecation Warning
BackupSystem,Incremental backup completed at 02:00 AM,Backup Process
LegacyCRM,File upload failed: permission denied for user 1082,Security Alert
